,date,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°)
96,2016-04-06,3.38,0.0,0.0,8.79,0.0,7.83,13.29,11.28,209.83
97,2016-04-07,11.15,0.4,0.4,62.08,21.04,47.21,81.71,20.53,188.96
98,2016-04-08,8.63,0.01,0.01,44.75,16.17,44.92,12.71,18.95,254.96
99,2016-04-09,4.79,0.15,0.15,64.17,20.04,68.5,60.33,9.35,120.79
100,2016-04-10,4.31,0.0,0.0,20.21,0.54,20.38,24.75,14.24,288.21
101,2016-04-11,9.96,0.01,0.01,53.83,1.58,62.25,49.79,14.92,189.62
102,2016-04-12,11.97,0.25,0.25,65.58,33.67,57.83,83.92,14.42,241.88
103,2016-04-13,8.08,0.0,0.0,1.25,1.29,0.17,0.0,9.55,214.96
104,2016-04-14,9.08,0.0,0.0,3.54,1.04,0.46,7.75,7.71,131.96
105,2016-04-15,9.95,0.0,0.0,0.0,0.0,0.0,0.0,6.31,121.67
106,2016-04-16,11.25,0.0,0.0,9.67,0.0,0.0,31.79,8.83,96.29
107,2016-04-17,12.5,0.0,0.0,5.0,0.21,0.0,16.04,5.48,253.75
108,2016-04-18,15.43,0.0,0.0,11.54,0.0,0.0,38.38,7.48,163.79
109,2016-04-19,16.49,0.0,0.0,22.71,0.71,3.92,65.38,13.8,286.21
110,2016-04-20,13.71,0.0,0.0,2.96,0.0,0.0,9.88,11.25,207.08
111,2016-04-21,13.85,0.0,0.0,18.54,0.0,5.0,51.79,11.7,212.38
112,2016-04-22,19.03,0.13,0.13,67.33,5.96,57.38,91.79,8.78,225.25
113,2016-04-23,17.38,0.1,0.1,76.29,15.58,72.96,77.42,11.2,277.29
114,2016-04-24,13.1,0.0,0.0,0.17,0.0,0.0,0.58,11.22,284.29
115,2016-04-25,14.0,0.0,0.0,25.04,3.54,16.5,39.58,5.25,93.0
116,2016-04-26,14.38,0.28,0.28,51.96,24.0,28.0,45.92,7.74,136.21
117,2016-04-27,10.38,0.0,0.0,91.04,79.38,39.25,49.25,9.57,100.67
118,2016-04-28,11.0,0.02,0.02,41.08,0.04,27.21,82.25,10.88,138.54
119,2016-04-29,10.1,0.05,0.05,61.08,10.33,84.29,7.29,9.97,116.83
120,2016-04-30,10.84,0.09,0.09,78.54,69.38,52.62,32.25,7.99,95.29
121,2016-05-01,9.94,0.2,0.2,84.88,45.79,85.83,75.08,9.5,133.88
122,2016-05-02,10.28,0.26,0.26,98.33,99.54,28.04,43.92,7.17,117.75
123,2016-05-03,12.33,1.02,1.02,93.42,80.12,77.5,81.96,8.09,85.08
124,2016-05-04,10.61,0.2,0.2,99.71,99.58,54.88,16.88,11.0,81.83
125,2016-05-05,10.44,0.0,0.0,97.96,99.96,12.21,49.58,15.5,34.46
126,2016-05-06,11.3,0.45,0.45,99.21,99.83,71.58,19.21,16.32,57.42
127,2016-05-07,11.32,0.08,0.08,96.46,97.75,38.46,11.79,9.64,82.92
128,2016-05-08,13.12,0.12,0.12,41.33,25.0,22.83,17.12,13.24,239.42
129,2016-05-09,15.28,0.0,0.0,16.21,0.0,14.08,25.92,14.4,260.17
130,2016-05-10,13.6,0.0,0.0,41.58,0.0,31.62,75.04,8.29,151.17
131,2016-05-11,15.32,0.0,0.0,27.12,0.0,9.54,71.21,8.25,201.79
132,2016-05-12,17.06,0.0,0.0,17.92,2.5,0.83,50.54,7.61,171.33
133,2016-05-13,16.44,0.36,0.36,65.5,45.5,39.12,96.12,6.89,172.92
134,2016-05-14,17.58,0.02,0.02,47.25,14.71,26.29,60.71,9.34,255.83
135,2016-05-15,12.95,0.03,0.03,25.62,6.62,29.42,6.71,20.28,275.08
136,2016-05-16,11.41,0.01,0.01,25.46,13.5,26.17,0.0,22.24,278.54
137,2016-05-17,14.74,0.0,0.0,60.42,1.33,63.08,71.21,12.85,236.71
138,2016-05-18,14.19,0.0,0.0,32.92,0.08,44.79,19.92,9.7,148.29
139,2016-05-19,15.36,0.0,0.0,42.5,0.38,69.38,1.79,3.79,202.83
140,2016-05-20,16.75,0.0,0.0,8.0,0.0,7.04,12.33,7.93,285.25
141,2016-05-21,15.64,0.0,0.0,61.79,0.0,54.29,97.5,7.8,149.62
142,2016-05-22,15.4,0.1,0.1,76.29,29.04,87.96,38.96,8.6,111.75
143,2016-05-23,16.92,0.02,0.02,40.46,21.62,21.96,26.0,5.92,169.46
144,2016-05-24,17.6,0.42,0.42,73.46,12.71,77.92,66.12,7.95,246.17
145,2016-05-25,20.61,0.0,0.0,7.79,0.0,11.62,2.83,7.84,253.33
146,2016-05-26,23.78,0.0,0.0,19.83,0.0,2.62,61.08,9.46,227.75
147,2016-05-27,23.77,0.08,0.08,31.0,2.62,19.33,56.92,7.88,187.21
